"name","Date tests last reported","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","World Bank Economic Status","COVID-19 Diagnostic Testing Capacity","SARS-CoV-2 Sequencing Capacity","NGS Facility Access","Archetype"
"Afghanistan","February 20, 2022","19.3 %","0.04 per 1000 persons","0.07 %","0.2 per 100k persons","Low income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Test"
"Albania","February 21, 2022","13.3 %","1.23 per 1000 persons","0.02 %","1 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Algeria","November 01, 2020","Insufficient Data","Insufficient Data","0.04 %","0.1 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"American Samoa","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Andorra","February 18, 2022","18.4 %","5.2 per 1000 persons","0.32 %","111.2 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Angola","February 21, 2022","7.5 %","0.09 per 1000 persons","1.1 %","2.5 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Antigua and Barbuda","June 07, 2021","13.5 %","0.51 per 1000 persons","2.57 %","177.3 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Argentina","February 21, 2022","25.3 %","1.62 per 1000 persons","0.15 %","22 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Armenia","February 21, 2022","11.3 %","1.99 per 1000 persons","0.05 %","4.1 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Aruba","No tests reported","Insufficient Data","Insufficient Data","10.99 %","2654 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Australia","February 21, 2022","6.3 %","5.25 per 1000 persons","1.52 %","174.8 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Austria","February 21, 2022","1.4 %","43.11 per 1000 persons","0.57 %","121.8 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Azerbaijan","February 21, 2022","13.6 %","1.06 per 1000 persons","0 %","0.1 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Bahrain","February 21, 2022","5.9 %","10.13 per 1000 persons","0.58 %","121 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Bangladesh","February 21, 2022","15 %","0.15 per 1000 persons","0.23 %","1.9 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Barbados","February 21, 2022","11.1 %","4.36 per 1000 persons","0.21 %","36.5 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Belarus","February 21, 2022","7.9 %","2.17 per 1000 persons","0.02 %","1.1 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Belgium","February 19, 2022","12.3 %","5.27 per 1000 persons","2.9 %","681.2 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Belize","February 15, 2022","10.7 %","2.83 per 1000 persons","1.02 %","109.9 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Benin","January 25, 2022","1.6 %","0.17 per 1000 persons","2.92 %","5 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Bermuda","February 18, 2022","0 %","26.97 per 1000 persons","0.84 %","143.3 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Bhutan","February 14, 2022","0.6 %","3.93 per 1000 persons","0 %","0 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Bolivia","January 02, 2022","15.5 %","0.65 per 1000 persons","0.02 %","1 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Test"
"Bosnia and Herzegovina","February 21, 2022","31.5 %","0.64 per 1000 persons","0.54 %","39.6 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Test"
"Botswana","February 18, 2022","16.3 %","1.68 per 1000 persons","1.2 %","117.7 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Brazil","February 17, 2022","38.7 %","0.6 per 1000 persons","0.57 %","47.4 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Test"
"British Virgin Islands","No tests reported","Insufficient Data","Insufficient Data","2.82 %","545.6 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Brunei","December 14, 2021","2.7 %","4.38 per 1000 persons","2.66 %","165.3 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Bulgaria","January 02, 2022","8.8 %","2.67 per 1000 persons","1.42 %","168.9 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Burkina Faso","February 21, 2022","5.4 %","0.02 per 1000 persons","0.94 %","0.4 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
